magic_rank,ticker,name,pasa_filtros,per,pb,ev_ebit,ev_ebitda,fcf_yield,earnings_yield,roic,roc_greenblatt,roe,net_debt_ebitda,interest_coverage,current_ratio,piotroski,es_financiera,fin_rank,roa,capital_activos,fin_score
55,BSX,BOSTON SCIENTIFIC CORP,True,23.199886539716733,2.7687067995238226,18.026313831403485,13.075501279434008,0.05452046504096053,0.05547445858053956,0.13862015002418504,0.4888377756731159,0.11934139396690463,-0.3944990965669544,10.35243553008596,1.6168413311270453,7,False,,,,
56,COR,"Cencora, Inc.",True,37.119066073644724,38.25502317982091,23.159145035937502,16.54388913605718,0.055593305862579684,0.04317948691319291,0.38869340378083916,1.035258889454274,1.0306030626935072,0.8660680994739755,,0.9034691461454554,6,False,,,,
57,V,VISA INC.,True,34.334354949638964,18.166622479618518,29.035821104436877,27.630899166330547,0.031331020590611776,0.034440217702236535,0.43323003517541797,3.450388265746333,0.5291091825160252,0.3175616720869358,40.73684210526316,1.0775507874914403,5,False,,,,
58,TEVA,TEVA PHARMACEUTICAL INDUSTRIES LTD,False,28.606914609482395,5.0993362325373175,17.884909410927296,12.212013168524907,0.028461104885922968,0.05591305927381558,0.3506176853055917,0.47199124726477026,0.17825537294563842,-0.5565052231718899,2.3548034934497815,1.0364149821640904,7,False,,,,
59,NRG,"NRG ENERGY, INC.",False,33.38177060777823,17.15755491083902,13.080677401149265,7.4235157813350945,0.026558629393597682,0.076448640183737,-0.4643919014583038,0.3604923798358734,0.5139797739440809,-1.4481697939095663,2.4898785425101213,1.637439282600573,6,False,,,,
60,VZ,VERIZON COMMUNICATIONS INC,True,10.347722891804912,1.68063280036937,6.07412395993908,3.7330447181956297,0.20897318846888382,0.16463279422602192,0.2148775709809713,0.2672860314067253,0.1624157138669012,0.0002310536044362292,4.370929190319689,0.9126503126503126,5,False,,,,
61,AME,AMETEK INC/,True,36.33138388754911,5.059430795773357,28.472756202287222,23.312974427852097,0.03108314506742632,0.035121292539977915,0.13982063598509162,1.850535452216157,0.13925786068136098,0.2641881839818852,23.510436409284466,1.0622952688099419,6,False,,,,
62,CAH,CARDINAL HEALTH INC,False,36.01948074153875,-20.218054454348074,23.012048104414063,17.080720860535724,0.03290268787401472,0.043455497549050606,-0.2552879008993964,0.7960111966410077,-0.5613088816972313,-1.2639477977161502,10.581395348837209,0.9351106769159575,6,False,,,,
63,TEL,TE Connectivity plc,True,31.287680383928464,4.579412575859851,19.06537130713056,15.119512785180595,0.05557685233546193,0.05245111589439615,0.11421138568750477,0.44858899133836266,0.1463647199046484,0.8858977525314893,41.701298701298704,1.555859375,5,False,,,,
64,MPLX,MPLX LP,False,11.712879487722924,,9.400164769174477,9.400164769174477,0.07070423999447567,0.10638111400762394,-2.781001403837155,0.26480417056543243,,-0.35958270233888606,5.543843283582089,1.229301323484149,4,False,,,,
65,LNG,"Cheniere Energy, Inc.",True,9.670445258491673,6.512125486766976,8.039670020605863,7.016327289317174,0.04774610335483831,0.124383214415141,0.2522824462470927,0.25484547615718084,0.673404927353127,2.079685853845417,9.611814345991561,0.9427987742594485,7,False,,,,
66,FERG,Ferguson Enterprises Inc. /DE/,True,24.058322264855764,7.656420803081669,18.46901232677371,16.156510951182376,0.035899649830913274,0.054144747012288476,0.21441209887521706,0.4369550637156271,0.31824417009602196,1.167505874454515,,1.6831453218314532,6,False,,,,
67,MCO,MOODYS CORP /DE/,True,34.848352462811995,21.137666183042597,26.947806238751024,23.571417046738368,0.030049444918286965,0.03710877208854192,0.30422835927889336,1.1448582166040315,0.6065614208189443,1.2033411641868963,,1.7396846695739685,8,False,,,,
68,KMB,KIMBERLY CLARK CORP,False,18.84225539843673,25.352994780453148,15.90480568279057,11.847971533663065,0.043040742411662995,0.06287407843542704,2.0451091043196303,0.3470110701107011,1.3455392809587217,-0.21799746514575413,9.18359375,0.7452631578947368,4,False,,,,
69,MCD,MCDONALDS CORP,False,23.284977540632593,-111.3284548746158,19.374748864716928,18.685701375909485,0.03604005503303893,0.05161357223169408,0.251482623102412,0.43883006975673666,-4.781127861529872,3.1690272373540855,7.833754740834387,0.9545975693648245,4,False,,,,
70,CMG,CHIPOTLE MEXICAN GRILL INC,True,29.55925790346369,16.037533814154102,23.269685409883312,19.609003420315908,0.031888083085525834,0.04297436696652852,0.5965255044140043,0.6543899408148005,0.5425553600340846,-0.1525979679433044,,1.2346613451927464,6,False,,,,
71,LVS,LAS VEGAS SANDS CORP,False,19.137878926837583,19.583225794946383,9.686419096509846,6.374668148987564,0.05957479522948333,0.1032373253765485,-1.0555910984383503,0.22942277945127412,1.0232704402515724,-0.8970107426436245,3.777479892761394,1.1444812884888678,7,False,,,,
72,LHX,"L3HARRIS TECHNOLOGIES, INC. /DE/",False,35.03992354485366,2.8660105532485343,31.112851759732216,19.690497064497592,0.04765956593946815,0.032141058869256375,0.06046278063058463,1.5435259692757863,0.08179271708683473,2.811637672465507,,1.1891779684472736,7,False,,,,
73,CQP,"Cheniere Energy Partners, L.P.",True,9.940368255333377,,11.866400425979709,10.008393258689305,0.08652197172575733,0.08427155363901673,0.20495204760238012,0.24287305852283897,,3.251024123805189,4.921646746347942,0.7833723653395784,6,False,,,,
74,TT,Trane Technologies plc,True,36.213683374694185,12.319710030933239,27.184568306039836,24.829536178231105,0.02660056183801793,0.03678557587312582,0.2985733947084848,1.036524192705612,0.34019488996643044,0.49699564887077835,17.500661667401854,1.250735680086532,8,False,,,,
75,VMC,Vulcan Materials CO,True,36.53792504869916,4.614653658013911,26.870328414382804,18.37725767490156,0.02885838640740599,0.03721577141069601,0.09928706687325638,1.0048393100881003,0.1262976387373755,1.7646214264600313,6.756779307467668,2.6858069239619287,9,False,,,,
76,AAPL,Apple Inc.,True,40.469232693470275,61.478018716119045,34.541012807182305,31.749535427056717,0.021788638582458133,0.02895109085487107,0.8228358730470098,2.6698639483083837,1.5191298333175105,0.43332550363390165,,0.8932929222186667,8,False,,,,
77,CL,COLGATE PALMOLIVE CO,True,35.7045060330743,1409.666793750267,25.051423733367944,21.041668410191672,0.04773915126230769,0.03991789092082707,0.3619024314856789,0.7094420600858369,39.48148148148148,1.7017276422764227,12.382022471910112,0.8330658105939005,5,False,,,,
78,CSCO,"CISCO SYSTEMS, INC.",True,43.630676033545505,9.481892321616746,39.151809695705204,36.952269825159966,0.02991712797804146,0.025541603511361977,0.17090221996097638,5.565546616185518,0.21732169160813783,1.3053772070626004,7.382297551789077,0.9977754962354551,8,False,,,,
79,ABBV,AbbVie Inc.,False,109.14732955959468,-141.05706872135997,34.69516515547908,34.69516515547908,0.03862492034040424,0.02882245971502688,0.16534115541561412,2.6785714285714284,-1.2923547400611621,4.0977114427860695,5.210853784998272,0.6713483794959458,8,False,,,,
80,ORLY,O REILLY AUTOMOTIVE INC,True,29.466263763051032,-97.97778204517707,23.294910518645256,20.296539207690035,0.021301581539407283,0.042927831776799465,0.5357751010011834,0.5530409074020064,-3.325083316739853,1.4660983493301094,14.7219991151346,0.7685066730508747,7,False,,,,
81,MSFT,MICROSOFT CORP,True,28.485440677013635,8.445143356716574,22.669289143390174,22.669289143390174,0.024687239051978328,0.04411254334772893,0.29706098731461084,0.5042706539181337,0.2964722734140952,0.1004372588074194,53.89014675052411,1.3534464445042416,6,False,,,,
82,KO,COCA COLA CO,True,27.6196588101391,11.253407567051918,25.66748060052995,23.847952202571776,0.014629395048000824,0.03895980347908993,0.48306722810728364,0.7102601156069365,0.4074419472162641,-0.5924250607615447,8.32043530834341,1.4587660354306657,6,False,,,,
